id,president,web_publication_date,pillar_name,word
1,obama,2009-01-20T19:16:38Z,News,recession
1,obama,2009-01-20T19:16:38Z,News,building
1,obama,2009-01-20T19:16:38Z,News,roads
1,obama,2009-01-20T19:16:38Z,News,bridges
1,obama,2009-01-20T19:16:38Z,News,electric
1,obama,2009-01-20T19:16:38Z,News,grids
1,obama,2009-01-20T19:16:38Z,News,digital
1,obama,2009-01-20T19:16:38Z,News,lines
1,obama,2009-01-20T19:16:38Z,News,administration
1,obama,2009-01-20T19:16:38Z,News,confront
1,obama,2009-01-20T19:16:38Z,News,country's
1,obama,2009-01-20T19:16:38Z,News,failed
1,obama,2009-01-20T19:16:38Z,News,education
1,obama,2009-01-20T19:16:38Z,News,health
1,obama,2009-01-20T19:16:38Z,News,systems
1,obama,2009-01-20T19:16:38Z,News,restore
1,obama,2009-01-20T19:16:38Z,News,science
1,obama,2009-01-20T19:16:38Z,News,rightful
1,obama,2009-01-20T19:16:38Z,News,environmental
1,obama,2009-01-20T19:16:38Z,News,concerns
1,obama,2009-01-20T19:16:38Z,News,priority
1,obama,2009-01-20T19:16:38Z,News,passage
1,obama,2009-01-20T19:16:38Z,News,produced
1,obama,2009-01-20T19:16:38Z,News,biggest
1,obama,2009-01-20T19:16:38Z,News,cheers
1,obama,2009-01-20T19:16:38Z,News,day
1,obama,2009-01-20T19:16:38Z,News,promised
1,obama,2009-01-20T19:16:38Z,News,engage
1,obama,2009-01-20T19:16:38Z,News,world
1,obama,2009-01-20T19:16:38Z,News,bush
1,obama,2009-01-20T19:16:38Z,News,failed
1,obama,2009-01-20T19:16:38Z,News,message
1,obama,2009-01-20T19:16:38Z,News,people
1,obama,2009-01-20T19:16:38Z,News,governments
1,obama,2009-01-20T19:16:38Z,News,world
1,obama,2009-01-20T19:16:38Z,News,watching
1,obama,2009-01-20T19:16:38Z,News,ready
1,obama,2009-01-20T19:16:38Z,News,lead
1,obama,2009-01-20T19:16:38Z,News,specifically
1,obama,2009-01-20T19:16:38Z,News,mentioned
1,obama,2009-01-20T19:16:38Z,News,reaching
1,obama,2009-01-20T19:16:38Z,News,muslim
1,obama,2009-01-20T19:16:38Z,News,world
1,obama,2009-01-20T19:16:38Z,News,hinting
1,obama,2009-01-20T19:16:38Z,News,willingness
1,obama,2009-01-20T19:16:38Z,News,engage
1,obama,2009-01-20T19:16:38Z,News,countries
1,obama,2009-01-20T19:16:38Z,News,iran
1,obama,2009-01-20T19:16:38Z,News,syria
1,obama,2009-01-20T19:16:38Z,News,extend
1,obama,2009-01-20T19:16:38Z,News,hand
1,obama,2009-01-20T19:16:38Z,News,unclench
1,obama,2009-01-20T19:16:38Z,News,fist
1,obama,2009-01-20T19:16:38Z,News,son
1,obama,2009-01-20T19:16:38Z,News,white
1,obama,2009-01-20T19:16:38Z,News,mother
1,obama,2009-01-20T19:16:38Z,News,kansas
1,obama,2009-01-20T19:16:38Z,News,black
1,obama,2009-01-20T19:16:38Z,News,father
1,obama,2009-01-20T19:16:38Z,News,kenya
1,obama,2009-01-20T19:16:38Z,News,election
1,obama,2009-01-20T19:16:38Z,News,campaign
1,obama,2009-01-20T19:16:38Z,News,avoid
1,obama,2009-01-20T19:16:38Z,News,african
1,obama,2009-01-20T19:16:38Z,News,american
1,obama,2009-01-20T19:16:38Z,News,disappoint
1,obama,2009-01-20T19:16:38Z,News,born
1,obama,2009-01-20T19:16:38Z,News,days
1,obama,2009-01-20T19:16:38Z,News,segregation
1,obama,2009-01-20T19:16:38Z,News,travelled
1,obama,2009-01-20T19:16:38Z,News,distances
1,obama,2009-01-20T19:16:38Z,News,knowing
1,obama,2009-01-20T19:16:38Z,News,special
1,obama,2009-01-20T19:16:38Z,News,moment
1,obama,2009-01-20T19:16:38Z,News,black
1,obama,2009-01-20T19:16:38Z,News,americans
1,obama,2009-01-20T19:16:38Z,News,american
1,obama,2009-01-20T19:16:38Z,News,liberty
1,obama,2009-01-20T19:16:38Z,News,meant
1,obama,2009-01-20T19:16:38Z,News,father
1,obama,2009-01-20T19:16:38Z,News,60
1,obama,2009-01-20T19:16:38Z,News,ago
1,obama,2009-01-20T19:16:38Z,News,served
1,obama,2009-01-20T19:16:38Z,News,local
1,obama,2009-01-20T19:16:38Z,News,restaurant
1,obama,2009-01-20T19:16:38Z,News,stand
1,obama,2009-01-20T19:16:38Z,News,sacred
1,obama,2009-01-20T19:16:38Z,News,oath
1,obama,2009-01-20T19:16:38Z,News,day
1,obama,2009-01-20T19:16:38Z,News,visit
1,obama,2009-01-20T19:16:38Z,News,st
1,obama,2009-01-20T19:16:38Z,News,john's
1,obama,2009-01-20T19:16:38Z,News,church
1,obama,2009-01-20T19:16:38Z,News,square
1,obama,2009-01-20T19:16:38Z,News,white
1,obama,2009-01-20T19:16:38Z,News,house
1,obama,2009-01-20T19:16:38Z,News,traditional
1,obama,2009-01-20T19:16:38Z,News,venue
1,obama,2009-01-20T19:16:38Z,News,presidents
1,obama,2009-01-20T19:16:38Z,News,heading
1,obama,2009-01-20T19:16:38Z,News,coffee
1,obama,2009-01-20T19:16:38Z,News,bushes
1,obama,2009-01-20T19:16:38Z,News,outgoing
1,obama,2009-01-20T19:16:38Z,News,vice
1,obama,2009-01-20T19:16:38Z,News,dick
1,obama,2009-01-20T19:16:38Z,News,cheney
1,obama,2009-01-20T19:16:38Z,News,door
1,obama,2009-01-20T19:16:38Z,News,join
1,obama,2009-01-20T19:16:38Z,News,greeting
1,obama,2009-01-20T19:16:38Z,News,wheelchair
1,obama,2009-01-20T19:16:38Z,News,apparently
1,obama,2009-01-20T19:16:38Z,News,injured
1,obama,2009-01-20T19:16:38Z,News,removing
1,obama,2009-01-20T19:16:38Z,News,boxes
1,obama,2009-01-20T19:16:38Z,News,bush
1,obama,2009-01-20T19:16:38Z,News,left
1,obama,2009-01-20T19:16:38Z,News,travel
1,obama,2009-01-20T19:16:38Z,News,armoured
1,obama,2009-01-20T19:16:38Z,News,car
1,obama,2009-01-20T19:16:38Z,News,capitol
1,obama,2009-01-20T19:16:38Z,News,ceremony
1,obama,2009-01-20T19:16:38Z,News,joe
1,obama,2009-01-20T19:16:38Z,News,biden
1,obama,2009-01-20T19:16:38Z,News,sworn
1,obama,2009-01-20T19:16:38Z,News,vice
1,obama,2009-01-20T19:16:38Z,News,moment
1,obama,2009-01-20T19:16:38Z,News,initially
1,obama,2009-01-20T19:16:38Z,News,stumbled
1,obama,2009-01-20T19:16:38Z,News,words
1,obama,2009-01-20T19:16:38Z,News,chief
1,obama,2009-01-20T19:16:38Z,News,justice
1,obama,2009-01-20T19:16:38Z,News,john
1,obama,2009-01-20T19:16:38Z,News,roberts
1,obama,2009-01-20T19:16:38Z,News,oath
1,obama,2009-01-20T19:16:38Z,News,taking
1,obama,2009-01-20T19:16:38Z,News,lady
1,obama,2009-01-20T19:16:38Z,News,michelle
1,obama,2009-01-20T19:16:38Z,News,holding
1,obama,2009-01-20T19:16:38Z,News,bible
1,obama,2009-01-20T19:16:38Z,News,abraham
1,obama,2009-01-20T19:16:38Z,News,lincoln
1,obama,2009-01-20T19:16:38Z,News,smiled
1,obama,2009-01-20T19:16:38Z,News,sworn
1,obama,2009-01-20T19:16:38Z,News,12.05pm
1,obama,2009-01-20T19:16:38Z,News,roberts
1,obama,2009-01-20T19:16:38Z,News,appearing
1,obama,2009-01-20T19:16:38Z,News,blame
1,obama,2009-01-20T19:16:38Z,News,glitch
1,obama,2009-01-20T19:16:38Z,News,apparently
1,obama,2009-01-20T19:16:38Z,News,caused
1,obama,2009-01-20T19:16:38Z,News,recite
1,obama,2009-01-20T19:16:38Z,News,historic
1,obama,2009-01-20T19:16:38Z,News,words
1,obama,2009-01-20T19:16:38Z,News,slightly
1,obama,2009-01-20T19:16:38Z,News,wrong
1,obama,2009-01-20T19:16:38Z,News,sad
1,obama,2009-01-20T19:16:38Z,News,notes
1,obama,2009-01-20T19:16:38Z,News,day
1,obama,2009-01-20T19:16:38Z,News,celebration
1,obama,2009-01-20T19:16:38Z,News,massachusetts
1,obama,2009-01-20T19:16:38Z,News,senator
1,obama,2009-01-20T19:16:38Z,News,ted
1,obama,2009-01-20T19:16:38Z,News,kennedy
1,obama,2009-01-20T19:16:38Z,News,attending
1,obama,2009-01-20T19:16:38Z,News,post
1,obama,2009-01-20T19:16:38Z,News,inaugural
1,obama,2009-01-20T19:16:38Z,News,lunch
1,obama,2009-01-20T19:16:38Z,News,capitol
1,obama,2009-01-20T19:16:38Z,News,hill
1,obama,2009-01-20T19:16:38Z,News,rushed
1,obama,2009-01-20T19:16:38Z,News,hospital
1,obama,2009-01-20T19:16:38Z,News,kennedy
1,obama,2009-01-20T19:16:38Z,News,fighting
1,obama,2009-01-20T19:16:38Z,News,brain
1,obama,2009-01-20T19:16:38Z,News,cancer
1,obama,2009-01-20T19:16:38Z,News,prayers
1,obama,2009-01-20T19:16:38Z,News,family
1,obama,2009-01-20T19:16:38Z,News,elderly
1,obama,2009-01-20T19:16:38Z,News,west
1,obama,2009-01-20T19:16:38Z,News,virginia
1,obama,2009-01-20T19:16:38Z,News,senator
1,obama,2009-01-20T19:16:38Z,News,robert
1,obama,2009-01-20T19:16:38Z,News,byrd
1,obama,2009-01-20T19:16:38Z,News,ill
1,obama,2009-01-20T19:16:38Z,News,lunch
1,obama,2009-01-20T19:16:38Z,News,security
1,obama,2009-01-20T19:16:38Z,News,capital
1,obama,2009-01-20T19:16:38Z,News,bush's
1,obama,2009-01-20T19:16:38Z,News,ago
1,obama,2009-01-20T19:16:38Z,News,"28,000"
1,obama,2009-01-20T19:16:38Z,News,secret
1,obama,2009-01-20T19:16:38Z,News,service
1,obama,2009-01-20T19:16:38Z,News,agents
1,obama,2009-01-20T19:16:38Z,News,police
1,obama,2009-01-20T19:16:38Z,News,national
1,obama,2009-01-20T19:16:38Z,News,guard
1,obama,2009-01-20T19:16:38Z,News,duty
1,obama,2009-01-20T19:16:38Z,News,50
1,obama,2009-01-20T19:16:38Z,News,time
2,obama,2009-01-20T22:00:00Z,Opinion,outer
2,obama,2009-01-20T22:00:00Z,Opinion,space
2,obama,2009-01-20T22:00:00Z,Opinion,tweeting
2,obama,2009-01-20T22:00:00Z,Opinion,heads
2,obama,2009-01-20T22:00:00Z,Opinion,twitter
2,obama,2009-01-20T22:00:00Z,Opinion,cnn's
2,obama,2009-01-20T22:00:00Z,Opinion,satellite
2,obama,2009-01-20T22:00:00Z,Opinion,media
2,obama,2009-01-20T22:00:00Z,Opinion,coverage
